school,sex,age,studytime,failures,absences,G1,G2,G3,Medu,Fedu,traveltime,famsup,schoolsup,internet,freetime,goout,health,subject,performance_category
GP,F,18,2,0,6,5,6,6,4,4,2,no,yes,no,3,4,3,Mathematics,Low
GP,F,17,2,0,4,5,5,6,1,1,1,yes,no,yes,3,3,3,Mathematics,Low
GP,F,15,2,3,10,7,8,10,1,1,1,no,yes,yes,3,2,3,Mathematics,Medium
GP,F,15,3,0,2,15,14,15,4,2,1,yes,no,yes,2,2,5,Mathematics,High
GP,F,16,2,0,4,6,10,10,3,3,1,yes,no,no,3,2,5,Mathematics,Medium
GP,M,16,2,0,10,15,15,15,4,3,1,yes,no,yes,4,2,5,Mathematics,High
GP,M,16,2,0,0,12,12,11,2,2,1,no,no,yes,4,4,3,Mathematics,Medium
GP,F,17,2,0,6,6,5,6,4,4,2,yes,yes,no,1,4,1,Mathematics,Low
GP,M,15,2,0,0,16,18,19,3,2,1,yes,no,yes,2,2,1,Mathematics,High
GP,M,15,2,0,0,14,15,15,3,4,1,yes,no,yes,5,1,5,Mathematics,High
GP,F,15,2,0,0,10,8,9,4,4,1,yes,no,yes,3,3,2,Mathematics,Low
GP,F,15,3,0,4,10,12,12,2,1,3,yes,no,yes,2,2,4,Mathematics,Medium
GP,M,15,1,0,2,14,14,14,4,4,1,yes,no,yes,3,3,5,Mathematics,Medium
GP,M,15,2,0,2,10,10,11,4,3,2,yes,no,yes,4,3,3,Mathematics,Medium
GP,M,15,3,0,0,14,16,16,2,2,1,yes,no,yes,5,2,3,Mathematics,High
GP,F,16,1,0,4,14,14,14,4,4,1,yes,no,yes,4,4,2,Mathematics,Medium
GP,F,16,3,0,6,13,14,14,4,4,1,yes,no,yes,2,3,2,Mathematics,Medium
GP,F,16,2,0,4,8,10,10,3,3,3,yes,yes,no,3,2,4,Mathematics,Medium
GP,M,17,1,3,16,6,5,5,3,2,1,yes,no,yes,5,5,5,Mathematics,Low
GP,M,16,1,0,4,8,10,10,4,3,1,no,no,yes,1,3,5,Mathematics,Medium
GP,M,15,2,0,0,13,14,15,4,3,1,no,no,yes,4,1,1,Mathematics,High
GP,M,15,1,0,0,12,15,15,4,4,1,yes,no,yes,4,2,5,Mathematics,High
GP,M,16,2,0,2,15,15,16,4,2,1,no,no,yes,5,1,5,Mathematics,High
GP,M,16,2,0,0,13,13,12,2,2,2,yes,no,yes,4,4,5,Mathematics,Medium
GP,F,15,3,0,2,10,9,8,2,4,1,yes,yes,yes,3,2,5,Mathematics,Low
GP,F,16,1,2,14,6,9,8,2,2,1,yes,no,yes,2,2,5,Mathematics,Low
GP,M,15,1,0,2,12,12,11,2,2,1,yes,no,yes,2,2,5,Mathematics,Medium
GP,M,15,1,0,4,15,16,15,4,2,1,no,no,yes,2,4,1,Mathematics,High
GP,M,16,2,0,4,11,11,11,3,4,1,yes,yes,yes,3,3,5,Mathematics,Medium
GP,M,16,2,0,16,10,12,11,4,4,1,yes,no,yes,4,5,5,Mathematics,Medium
GP,M,15,2,0,0,9,11,12,4,4,1,yes,no,yes,4,2,5,Mathematics,Medium
GP,M,15,2,0,0,17,16,17,4,4,2,yes,no,yes,3,1,5,Mathematics,High
GP,M,15,2,0,0,17,16,16,4,3,1,yes,no,yes,5,2,5,Mathematics,High
GP,M,15,2,0,0,8,10,12,3,3,1,no,no,yes,3,2,2,Mathematics,Medium
GP,M,16,1,0,0,12,14,15,3,2,1,yes,no,yes,4,3,5,Mathematics,High
